电视公告,#genre#
江苏教育,http://z.b.bkpcp.top/m.php?id=jsjy
山东教育,http://z.b.bkpcp.top/m.php?id=sdjy
游戏风云,http://z.b.bkpcp.top/m.php?id=yxfy
欢笑剧场,http://z.b.bkpcp.top/m.php?id=hxjc
CHC动作电影,http://z.b.bkpcp.top/m.php?id=dzdy
CHC家庭影院,http://z.b.bkpcp.top/m.php?id=jtyy



「咪咕」②线,#genre#

CCTV1,http://goo.bkpcp.top/mg/cctv1
CCTV2,http://goo.bkpcp.top/mg/cctv2
CCTV3,http://goo.bkpcp.top/mg/cctv3
CCTV4,http://goo.bkpcp.top/mg/cctv4
CCTV5,http://goo.bkpcp.top/mg/cctv5
CCTV5+,http://goo.bkpcp.top/mg/cctv5p
CCTV6,http://goo.bkpcp.top/mg/cctv6
CCTV7,http://goo.bkpcp.top/mg/cctv7
CCTV8,http://goo.bkpcp.top/mg/cctv8
CCTV9,http://goo.bkpcp.top/mg/cctv9
CCTV10,http://goo.bkpcp.top/mg/cctv10
CCTV11,http://goo.bkpcp.top/mg/cctv11
CCTV12,http://goo.bkpcp.top/mg/cctv12
CCTV13,http://goo.bkpcp.top/mg/cctv13
CCTV14,http://goo.bkpcp.top/mg/cctv14
CCTV15,http://goo.bkpcp.top/mg/cctv15
CCTV17,http://goo.bkpcp.top/mg/cctv17
中央新影-发现之旅,http://goo.bkpcp.top/mg/fxzl
中央新影-老故事,http://goo.bkpcp.top/mg/lgs
中央新影-中学生,http://goo.bkpcp.top/mg/zxs
CGTN纪录,http://goo.bkpcp.top/mg/cgtnjl
CGTN西语,http://goo.bkpcp.top/mg/cgtne
CGTN阿语,http://goo.bkpcp.top/mg/cgtna
CGTN法语,http://goo.bkpcp.top/mg/cgtnf
CGTN俄语,http://goo.bkpcp.top/mg/cgtnr
东方卫视,http://goo.bkpcp.top/mg/dfws
吉林卫视,http://goo.bkpcp.top/mg/jlws
青海卫视,http://goo.bkpcp.top/mg/qhws
陕西卫视,http://goo.bkpcp.top/mg/sxws
湖北卫视,http://goo.bkpcp.top/mg/hubws
江西卫视,http://goo.bkpcp.top/mg/jxws
江苏卫视,http://goo.bkpcp.top/mg/jsws
广东卫视,http://goo.bkpcp.top/mg/gdws
大湾区卫视,http://goo.bkpcp.top/mg/dwqws
海南卫视,http://goo.bkpcp.top/mg/hinws
四海钓鱼,http://goo.bkpcp.top/mg/shdy
江苏教育,http://goo.bkpcp.top/mg/jsjy
山东教育,http://goo.bkpcp.top/mg/sdjy
游戏风云,http://goo.bkpcp.top/mg/yxfy
欢笑剧场,http://goo.bkpcp.top/mg/hxjc












极速央视,#genre#
CCTV1,http://ali.hlspull.yximgs.com/live/tv1qaz2wsx3edc4rfv5tgb6yhn7ujm8ik9ol0xsrjy36t35ty54y36yu2uhy24h35h45yh463uyh46u4rtyjtyktyestj4642gdhgs.flv..flv
CCTV2,http://ali.hlspull.yximgs.com/live/tv2wsx3edc4rfv5tgb6yhn7ujm8ik9ol0p1qaxsrjy36t35ty54y36yu2uhy24h35h45yh463uyh46u4rtyjtyktyestj4642gdhgs.flv..flv
CCTV3,http://ali.hlspull.yximgs.com/live/62wsx3edc4rfv5tgb6yhn7ujm8ik9ol0p1qaz2wsx3edc4rfv5tgb6yhn7ujm8xsrjy36t35ty54y36yu2uhy24h35h45yh463uyh46u4rtyjtyktyestj4642gdhgs.flv..flv
CCTV4,http://ali.hlspull.yximgs.com/live/tv4rfv5tgb6yhn7ujm8ik9ol0p1qaz2wsx3edxsrjy36t35ty54y36yu2uhy24h35h45yh463uyh46u4rtyjtyktyestj4642gdhgs.flv..flv
CCTV5,http://ali.hlspull.yximgs.com/live/61qaz2wsx3edc4rfv5tgb6yhn7ujm8ik9ol0p1qaz2wsx3edc4rfv5tgb6yhn7uxsrjy36t35ty54y36yu2uhy24h35h45yh463uyh46u4rtyjtyktyestj4642gdhgs.flv..flv
CCTV5+,http://ali.hlspull.yximgs.com/live/tv3edc4rfv5tgb6yhn7ujm8ik9ol0p1qaz2wsx6xsrjy36t35ty54y36yu2uhy24h35h45yh463uyh46u4rtyjtyktyestj4642gdhgs.flv..flv
CCTV6,http://ali.hlspull.yximgs.com/live/tv6yhn7ujm8ik9ol0p1qaz2wsx3edc4rfv5tgxsrjy36t35ty54y36yu2uhy24h35h45yh463uyh46u4rtyjtyktyestj4642gdhgs.flv..flv
CCTV7,http://ali.hlspull.yximgs.com/live/tv7ujm8ik9ol0p1qaz2wsx3edc4rfv5tgb6yhxsrjy36t35ty54y36yu2uhy24h35h45yh463uyh46u4rtyjtyktyestj4642gdhgs.flv..flv
CCTV8,http://ali.hlspull.yximgs.com/live/tv8ik9ol0p1qaz2wsx3edc4rfv5tgb6yhn7ujxsrjy36t35ty54y36yu2uhy24h35h45yh463uyh46u4rtyjtyktyestj4642gdhgs.flv..flv
CCTV9,http://ali.hlspull.yximgs.com/live/tv9ol0p1qaz2wsx3edc4rfv5tgb6yhn7ujm8ixsrjy36t35ty54y36yu2uhy24h35h45yh463uyh46u4rtyjtyktyestj4642gdhgs.flv..flv
CCTV10,http://ali.hlspull.yximgs.com/live/tv10p1qaz2wsx3edc4rfv5tgb6yhn7ujm8ikxsrjy36t35ty54y36yu2uhy24h35h45yh463uyh46u4rtyjtyktyestj4642gdhgs.flv..flv
CCTV11,http://ali.hlspull.yximgs.com/live/tv11qaz2wsx3edc4rfv5tgb6yhn7ujm8ik9olxsrjy36t35ty54y36yu2uhy24h35h45yh463uyh46u4rtyjtyktyestj4642gdhgs.flv..flv
CCTV12,http://ali.hlspull.yximgs.com/live/tv12wsx3edc4rfv5tgb6yhn7ujm8ik9ol0p1qxsrjy36t35ty54y36yu2uhy24h35h45yh463uyh46u4rtyjtyktyestj4642gdhgs.flv..flv
CCTV13,http://ali.hlspull.yximgs.com/live/tv13edc4rfv5tgb6yhn7ujm8ik9ol0p1qaz2ws6xsrjy36t35ty54y36yu2uhy24h35h45yh463uyh46u4rtyjtyktyestj4642gdhgs.flv..flv
CCTV14,http://ali.hlspull.yximgs.com/live/tv14rfv5tgb6yhn7ujm8ik9ol0p1qaz2wsx3exsrjy36t35ty54y36yu2uhy24h35h45yh463uyh46u4rtyjtyktyestj4642gdhgs.flv..flv
CCTV15,http://ali.hlspull.yximgs.com/live/tv15tgb6yhn7ujm8ik9ol0p1qaz2wsx3edc4rxsrjy36t35ty54y36yu2uhy24h35h45yh463uyh46u4rtyjtyktyestj4642gdhgs.flv..flv
CCTV17,http://ali.hlspull.yximgs.com/live/tv17ujm8ik9ol0p1qaz2wsx3edc4rfv5tgb6yxsrjy36t35ty54y36yu2uhy24h35h45yh463uyh46u4rtyjtyktyestj4642gdhgs.flv..flv






辽宁电信专线,#genre#


兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
周星驰,https://stream1.freetv.fun/zhou-xing-chi-1.ctv
辽宁|家庭理财,http://120.76.248.139/live/bfgd/4200000139.m3u8
辽宁|鞍山新闻综合,http://120.76.248.139/live/bfgd/4200000274.m3u8
辽宁|辽宁北方,http://120.76.248.139/live/bfgd/4200000071.m3u8
辽宁|本溪新闻频道,http://120.76.248.139/live/bfgd/4200000312.m3u8
辽宁|朝阳新闻综合,http://120.76.248.139/live/bfgd/4200000282.m3u8
辽宁|辽宁导视,http://120.76.248.139/live/bfgd/4200000187.m3u8
辽宁|丹东新闻综合,http://120.76.248.139/live/bfgd/4200000276.m3u8
辽宁|大连新闻综合,http://120.76.248.139/live/bfgd/4200000273.m3u8
辽宁|辽宁都市,http://120.76.248.139/live/bfgd/4200000610.m3u8
辽宁|辽宁都市,http://120.76.248.139/live/bfgd/4200000068.m3u8
辽宁|抚顺新闻综合,http://120.76.248.139/live/bfgd/4200000275.m3u8
辽宁|阜新新闻综合,http://120.76.248.139/live/bfgd/4200000279.m3u8
辽宁|辽宁公共,http://120.76.248.139/live/bfgd/4200000481.m3u8
辽宁|辽宁公共,http://120.76.248.139/live/bfgd/4200000077.m3u8
辽宁|葫芦岛新闻综合,http://120.76.248.139/live/bfgd/4200000284.m3u8
辽宁|龙港综合,http://120.76.248.139/live/bfgd/4200000490.m3u8
辽宁|连山综合,http://120.76.248.139/live/bfgd/4200000491.m3u8
辽宁|辽宁经济,http://120.76.248.139/live/bfgd/4200000076.m3u8
辽宁|辽宁经济,http://120.76.248.139/live/bfgd/4200000480.m3u8
辽宁|辽宁教育青少,http://120.76.248.139/live/bfgd/4200000075.m3u8
辽宁|锦州新闻综合,http://120.76.248.139/live/bfgd/4200000277.m3u8
辽宁|辽阳新闻综合,http://120.76.248.139/live/bfgd/4200000280.m3u8
辽宁|盘锦新闻综合,http://120.76.248.139/live/bfgd/4200000283.m3u8
辽宁|辽宁生活,http://120.76.248.139/live/bfgd/4200000073.m3u8
辽宁|沈阳新闻,http://120.76.248.139/live/bfgd/4200000059.m3u8
辽宁|铁岭综合频道,http://120.76.248.139/live/bfgd/4200000281.m3u8
辽宁|辽宁体育,http://120.76.248.139/live/bfgd/4200000611.m3u8
辽宁|营口新闻频道,http://120.76.248.139/live/bfgd/4200000278.m3u8
辽宁|辽宁影视剧,http://120.76.248.139/live/bfgd/4200000070.m3u8
辽宁|家庭理财,http://120.76.248.139/live/bfgd/4200000139.m3u8
辽宁|鞍山新闻综合,http://120.76.248.139/live/bfgd/4200000274.m3u8
辽宁|辽宁北方,http://120.76.248.139/live/bfgd/4200000071.m3u8
辽宁|本溪新闻频道,http://120.76.248.139/live/bfgd/4200000312.m3u8
辽宁|朝阳新闻综合,http://120.76.248.139/live/bfgd/4200000282.m3u8
辽宁|辽宁导视,http://120.76.248.139/live/bfgd/4200000187.m3u8
辽宁|丹东新闻综合,http://120.76.248.139/live/bfgd/4200000276.m3u8
辽宁|大连新闻综合,http://120.76.248.139/live/bfgd/4200000273.m3u8
辽宁|辽宁都市,http://120.76.248.139/live/bfgd/4200000610.m3u8
辽宁|辽宁都市,http://120.76.248.139/live/bfgd/4200000068.m3u8
辽宁|抚顺新闻综合,http://120.76.248.139/live/bfgd/4200000275.m3u8
辽宁|阜新新闻综合,http://120.76.248.139/live/bfgd/4200000279.m3u8
辽宁|辽宁公共,http://120.76.248.139/live/bfgd/4200000481.m3u8
辽宁|辽宁公共,http://120.76.248.139/live/bfgd/4200000077.m3u8
辽宁|葫芦岛新闻综合,http://120.76.248.139/live/bfgd/4200000284.m3u8
辽宁|龙港综合,http://120.76.248.139/live/bfgd/4200000490.m3u8
辽宁|连山综合,http://120.76.248.139/live/bfgd/4200000491.m3u8
辽宁|辽宁经济,http://120.76.248.139/live/bfgd/4200000076.m3u8
辽宁|辽宁经济,http://120.76.248.139/live/bfgd/4200000480.m3u8
辽宁|辽宁教育青少,http://120.76.248.139/live/bfgd/4200000075.m3u8
辽宁|锦州新闻综合,http://120.76.248.139/live/bfgd/4200000277.m3u8
辽宁|辽阳新闻综合,http://120.76.248.139/live/bfgd/4200000280.m3u8
辽宁|盘锦新闻综合,http://120.76.248.139/live/bfgd/4200000283.m3u8
辽宁|辽宁生活,http://120.76.248.139/live/bfgd/4200000073.m3u8
辽宁|沈阳新闻,http://120.76.248.139/live/bfgd/4200000059.m3u8
辽宁|铁岭综合频道,http://120.76.248.139/live/bfgd/4200000281.m3u8
辽宁|辽宁体育,http://120.76.248.139/live/bfgd/4200000611.m3u8
辽宁|营口新闻频道,http://120.76.248.139/live/bfgd/4200000278.m3u8
辽宁|辽宁影视剧,http://120.76.248.139/live/bfgd/4200000070.m3u8
翡翠台（推流）,http://zb.xmzb.xyz/888.php?id=be一翡翠台
中天新闻(只能看大佬推流了),http://tlive24.uk/livehttpplay?channel_id=20163
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
广东体育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
澳视澳门,http://php.jdshipin.com/TVOD/iptv.php?id=asam
澳视卫星,http://php.jdshipin.com/TVOD/iptv.php?id=as
RTHK31,http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
RTHK32,http://php.jdshipin.com/TVOD/iptv.php?id=rthk32
CCTV1港澳版,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
无线新闻台,http://php.jdshipin.com/smt.php?id=inews_twn
TVB星河,http://php.jdshipin.com/smt.php?id=Xinhe
千禧经典台,http://php.jdshipin.com/smt.php?id=Tvbclassic
TVB娱乐新闻台,http://php.jdshipin.com/smt.php?id=Tvbentertainment
天映频道,http://php.jdshipin.com/smt.php?id=Celestial
天映经典,http://php.jdshipin.com/smt.php?id=Celestial2
Astro AOD,http://php.jdshipin.com/smt.php?id=Aodhd
Astro AEC,http://php.jdshipin.com/smt.php?id=AEC
爱奇艺,http://php.jdshipin.com/smt.php?id=Qiyi
Astro QJ,http://php.jdshipin.com/smt.php?id=Quanjia
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
凤凰资讯,http://zb.xmzb.xyz/123.php?id=⚽马上oeepppo一凤凰资讯
TVBS,https://vip3.lbbf9.com/20240930/ZxbE9E7s/index.m3u8
TVBS,http://150.138.77.132:10037/大象融媒.php?id=TVBS
JJ斗地主,http://3501776.xyz:35455/huya/14079954
1905电影网,http://xxwx.yoesun.com/1905dy.php?id=1905a

广东电信专线,#genre#


汕头综合,http://124.222.114.206/sxtv.php?id=st1
汕头经济,http://124.222.114.206/sxtv.php?id=st2
揭阳综合,http://hls-jyrtv.jyrtv.tv/stjy2020/zhpd.m3u8
揭阳生活,http://hls-jyrtv.jyrtv.tv/stjy2020/ggpd.m3u8
湛江新闻综合,http://gbtv-hls-wjq.zjwtv.com/zjtv/zhpd.m3u8
湛江公共频道,http://gbtv-hls-wjq.zjwtv.com/zjtv/ggpd.m3u8
阳江公共频道,https://live.yjtvw.com:8081/live/yjtv2.m3u8
阳江新闻综合,https://live.yjtvw.com:8081/live/yjtv1.m3u8
明珠台,http://113.65.162.235:8081/hls/21/index.m3u8
翡翠台,http://cdn.163189.xyz/live/fct4k/stream.m3u8
凤凰中文台,http://113.65.162.235:8081/hls/19/index.m3u8
星空卫视,http://113.65.162.235:8081/hls/18/index.m3u8
劲爆体育,http://113.65.162.235:8081/hls/68/index.m3u8
南方卫视,http://113.65.162.235:8081/hls/23/index.m3u8
陕西卫视,http://113.65.162.235:8081/hls/65/index.m3u8
山西卫视,http://113.65.162.235:8081/hls/64/index.m3u8
青海卫视,http://113.65.162.235:8081/hls/63/index.m3u8
云南卫视,http://113.65.162.235:8081/hls/62/index.m3u8
广西卫视,http://113.65.162.235:8081/hls/61/index.m3u8
吉林卫视,http://113.65.162.235:8081/hls/60/index.m3u8
江西卫视,http://113.65.162.235:8081/hls/59/index.m3u8
河北卫视,http://113.65.162.235:8081/hls/58/index.m3u8
重庆卫视,http://113.65.162.235:8081/hls/57/index.m3u8
四川卫视,http://113.65.162.235:8081/hls/56/index.m3u8
贵州卫视,http://113.65.162.235:8081/hls/55/index.m3u8
辽宁卫视,http://113.65.162.235:8081/hls/54/index.m3u8
安徽卫视,http://113.65.162.235:8081/hls/53/index.m3u8
湖北卫视,http://113.65.162.235:8081/hls/52/index.m3u8
山东卫视,http://113.65.162.235:8081/hls/51/index.m3u8
天津卫视,http://113.65.162.235:8081/hls/50/index.m3u8
黑龙江卫视,http://113.65.162.235:8081/hls/49/index.m3u8
江苏卫视,http://113.65.162.235:8081/hls/48/index.m3u8
浙江卫视,http://113.65.162.235:8081/hls/47/index.m3u8
北京卫视,http://113.65.162.235:8081/hls/46/index.m3u8
东方卫视,http://113.65.162.235:8081/hls/45/index.m3u8
湖南卫视,http://113.65.162.235:8081/hls/44/index.m3u8
深圳卫视,http://113.65.162.235:8081/hls/43/index.m3u8
广东卫视,http://113.65.162.235:8081/hls/42/index.m3u8
广东体育,http://113.65.162.235:8081/hls/41/index.m3u8
广东经济科教,http://113.65.162.235:8081/hls/40/index.m3u8
广州新闻,http://113.65.162.235:8081/hls/39/index.m3u8
广州经济,http://113.65.162.235:8081/hls/37/index.m3u8
广州影视,http://113.65.162.235:8081/hls/36/index.m3u8
广州新闻,http://113.65.162.235:8081/hls/34/index.m3u8
广州综合,http://113.65.162.235:8081/hls/33/index.m3u8
广东少儿,http://113.65.162.235:8081/hls/32/index.m3u8
广东影视,http://113.65.162.235:8081/hls/31/index.m3u8
广东经济科教,http://113.65.162.235:8081/hls/30/index.m3u8
广东嘉佳卡通,http://113.65.162.235:8081/hls/28/index.m3u8
广东新闻,http://113.65.162.235:8081/hls/27/index.m3u8
广东民生,http://113.65.162.235:8081/hls/26/index.m3u8
广东珠江,http://113.65.162.235:8081/hls/25/index.m3u8
广州台,http://113.65.162.235:8081/hls/24/index.m3u8
澳视澳门,http://113.65.162.235:8081/hls/73/index.m3u8
岭南戏曲,http://113.65.162.235:8081/hls/72/index.m3u8
金鹰卡通,http://113.65.162.235:8081/hls/71/index.m3u8
全纪实,http://113.65.162.235:8081/hls/69/index.m3u8

广东酒店专线,#genre#


CCTV3综艺,http://218.13.14.6:60050/tsfile/live/1003_1.m3u8?key=txiptv
CCTV4中文国际,http://218.13.14.6:60050/tsfile/live/1004_1.m3u8?key=txiptv
CCTV5体育,http://218.13.14.6:60050/tsfile/live/1005_1.m3u8?key=txiptv
CCTV6电影,http://218.13.14.6:60050/tsfile/live/1006_1.m3u8?key=txiptv
CCTV7国防军事,http://218.13.14.6:60050/tsfile/live/1007_1.m3u8?key=txiptv
CCTV8电视剧,http://218.13.14.6:60050/tsfile/live/1008_1.m3u8?key=txiptv
CCTV9纪录,http://218.13.14.6:60050/tsfile/live/1009_1.m3u8?key=txiptv
CCTV10科教,http://218.13.14.6:60050/tsfile/live/1010_1.m3u8?key=txiptv
CCTV11戏曲,http://218.13.14.6:60050/tsfile/live/1011_1.m3u8?key=txiptv
CCTV12社会与法,http://218.13.14.6:60050/tsfile/live/1012_1.m3u8?key=txiptv
CCTV13新闻,http://218.13.14.6:60050/tsfile/live/1013_1.m3u8?key=txiptv
CCTV14少儿,http://218.13.14.6:60050/tsfile/live/1014_1.m3u8?key=txiptv
CCTV15音乐,http://218.13.14.6:60050/tsfile/live/1015_1.m3u8?key=txiptv
CCTVNEWS,http://218.13.14.6:60050/tsfile/live/1016_1.m3u8?key=txiptv
广东卫视,http://218.13.14.6:60050/tsfile/live/1017_1.m3u8?key=txiptv
广东珠江,http://218.13.14.6:60050/tsfile/live/1018_1.m3u8?key=txiptv
广东新闻,http://218.13.14.6:60050/tsfile/live/1019_1.m3u8?key=txiptv
广东民生,http://218.13.14.6:60050/tsfile/live/1020_1.m3u8?key=txiptv
广东体育,http://218.13.14.6:60050/tsfile/live/1021_1.m3u8?key=txiptv
湖南卫视,http://218.13.14.6:60050/tsfile/live/1022_1.m3u8?key=txiptv
浙江卫视,http://218.13.14.6:60050/tsfile/live/1023_1.m3u8?key=txiptv
江苏卫视,http://218.13.14.6:60050/tsfile/live/1024_1.m3u8?key=txiptv
东方卫视,http://218.13.14.6:60050/tsfile/live/1025_1.m3u8?key=txiptv
安徽卫视,http://218.13.14.6:60050/tsfile/live/1026_1.m3u8?key=txiptv
北京卫视,http://218.13.14.6:60050/tsfile/live/1027_1.m3u8?key=txiptv
天津卫视,http://218.13.14.6:60050/tsfile/live/1028_1.m3u8?key=txiptv
山东卫视,http://218.13.14.6:60050/tsfile/live/1029_1.m3u8?key=txiptv
江西卫视,http://218.13.14.6:60050/tsfile/live/1030_1.m3u8?key=txiptv
深圳卫视,http://218.13.14.6:60050/tsfile/live/1031_1.m3u8?key=txiptv
湖北卫视,http://218.13.14.6:60050/tsfile/live/1032_1.m3u8?key=txiptv
辽宁卫视,http://218.13.14.6:60050/tsfile/live/1033_1.m3u8?key=txiptv
黑龙江卫视,http://218.13.14.6:60050/tsfile/live/1034_1.m3u8?key=txiptv
贵州卫视,http://218.13.14.6:60050/tsfile/live/1035_1.m3u8?key=txiptv
四川卫视,http://218.13.14.6:60050/tsfile/live/1036_1.m3u8?key=txiptv
河南卫视,http://218.13.14.6:60050/tsfile/live/1037_1.m3u8?key=txiptv
云南卫视,http://218.13.14.6:60050/tsfile/live/1038_1.m3u8?key=txiptv
重庆卫视,http://218.13.14.6:60050/tsfile/live/1039_1.m3u8?key=txiptv
河北卫视,http://218.13.14.6:60050/tsfile/live/1040_1.m3u8?key=txiptv
东南卫视,http://218.13.14.6:60050/tsfile/live/1041_1.m3u8?key=txiptv
广西卫视,http://218.13.14.6:60050/tsfile/live/1042_1.m3u8?key=txiptv
吉林卫视,http://218.13.14.6:60050/tsfile/live/1043_1.m3u8?key=txiptv
陕西卫视,http://218.13.14.6:60050/tsfile/live/1044_1.m3u8?key=txiptv
山西卫视,http://218.13.14.6:60050/tsfile/live/1045_1.m3u8?key=txiptv
经典电影,http://218.13.14.6:60050/tsfile/live/1046_1.m3u8?key=txiptv
青海卫视,http://218.13.14.6:60050/tsfile/live/1047_1.m3u8?key=txiptv
嘉佳卡通,http://218.13.14.6:60050/tsfile/live/1048_1.m3u8?key=txiptv
宁夏卫视,http://218.13.14.6:60050/tsfile/live/1049_1.m3u8?key=txiptv
西藏卫视,http://218.13.14.6:60050/tsfile/live/1050_1.m3u8?key=txiptv
新疆卫视,http://218.13.14.6:60050/tsfile/live/1051_1.m3u8?key=txiptv
甘肃卫视,http://218.13.14.6:60050/tsfile/live/1052_1.m3u8?key=txiptv
兵团卫视,http://218.13.14.6:60050/tsfile/live/1053_1.m3u8?key=txiptv
卡酷动画,http://218.13.14.6:60050/tsfile/live/1054_1.m3u8?key=txiptv
金鹰卡通,http://218.13.14.6:60050/tsfile/live/1055_1.m3u8?key=txiptv
炫动卡通,http://218.13.14.6:60050/tsfile/live/1056_1.m3u8?key=txiptv
宣传频道,/iptv/live/sd2025.mp4?key=txiptv

福建酒店,#genre#

CCTV1,http://110.81.206.138:49231/tsfile/live/23001_1.m3u8?key=txiptv
CCTV2,http://110.81.206.138:49231/tsfile/live/23002_1.m3u8?key=txiptv
CCTV3,http://110.81.206.138:49231/tsfile/live/23003_1.m3u8?key=txiptv
CCTV4,http://110.81.206.138:49231/tsfile/live/23004_1.m3u8?key=txiptv
CCTV5,http://110.81.206.138:49231/tsfile/live/23005_1.m3u8?key=txiptv
CCTV6,http://110.81.206.138:49231/tsfile/live/23006_1.m3u8?key=txiptv
CCTV7,http://110.81.206.138:49231/tsfile/live/23007_1.m3u8?key=txiptv
CCTV8,http://110.81.206.138:49231/tsfile/live/23008_1.m3u8?key=txiptv
CCTV9,http://110.81.206.138:49231/tsfile/live/23009_1.m3u8?key=txiptv
CCTV10,http://110.81.206.138:49231/tsfile/live/23010_1.m3u8?key=txiptv
CCTV11,http://110.81.206.138:49231/tsfile/live/23011_1.m3u8?key=txiptv
CCTV12,http://110.81.206.138:49231/tsfile/live/23012_1.m3u8?key=txiptv
CCTV13,http://110.81.206.138:49231/tsfile/live/23013_1.m3u8?key=txiptv
CCTV14,http://110.81.206.138:49231/tsfile/live/23014_1.m3u8?key=txiptv
CCTV15,http://110.81.206.138:49231/tsfile/live/23015_1.m3u8?key=txiptv
CGTN,http://110.81.206.138:49231/tsfile/live/23016_1.m3u8?key=txiptv
CCTV17,http://110.81.206.138:49231/tsfile/live/23017_1.m3u8?key=txiptv
CCTV5+,http://110.81.206.138:49231/tsfile/live/23018_1.m3u8?key=txiptv
凤凰资讯台,http://110.81.206.138:49231/tsfile/live/23019_1.m3u8?key=txiptv
凤凰中文台,http://110.81.206.138:49231/tsfile/live/23020_1.m3u8?key=txiptv
东南卫视,http://110.81.206.138:49231/tsfile/live/23021_1.m3u8?key=txiptv
海峡卫视,http://110.81.206.138:49231/tsfile/live/23022_1.m3u8?key=txiptv
福建综合,http://110.81.206.138:49231/tsfile/live/23023_1.m3u8?key=txiptv
福建公共,http://110.81.206.138:49231/tsfile/live/23024_1.m3u8?key=txiptv
福建新闻,http://110.81.206.138:49231/tsfile/live/23025_1.m3u8?key=txiptv
福建电视剧,http://110.81.206.138:49231/tsfile/live/23026_1.m3u8?key=txiptv
福建旅游,http://110.81.206.138:49231/tsfile/live/23027_1.m3u8?key=txiptv
福建经济生活,http://110.81.206.138:49231/tsfile/live/23028_1.m3u8?key=txiptv
福建体育,http://110.81.206.138:49231/tsfile/live/23029_1.m3u8?key=txiptv
福建少儿,http://110.81.206.138:49231/tsfile/live/23030_1.m3u8?key=txiptv
福建教育,http://110.81.206.138:49231/tsfile/live/23031_1.m3u8?key=txiptv
厦门卫视,http://110.81.206.138:49231/tsfile/live/23032_1.m3u8?key=txiptv
湖南卫视,http://110.81.206.138:49231/tsfile/live/23034_1.m3u8?key=txiptv
